collection,author,repository,stars,forks,watchers,dependents,commits,branches,packages,releases,contributors,issues_open,issues_closed,pull_requests_open,pull_requests_closed,C,Java,Ruby,Assembly,C++,JavaScript,ActionScript,HTML,CSS,TSQL,Objective-C,Other,OCaml,Shell,TypeScript,Dockerfile,Go,Lex,Groovy,ANTLR,Batchfile,CoffeeScript,Tcl,Makefile,CMake,Python,PHP,Gherkin,Vim Snippet,Puppet,C#,Yacc,Vue,Swift,Roff,PowerShell,OpenSCAD,MATLAB,FreeMarker,PLpgSQL,Fortran,Csound,M,GLSL,Verilog,Lua,Perl,Awk,TeX,XSLT,Jupyter Notebook,R,Gnuplot,GAP,Scilab,Emacs Lisp,Objective-C++,Vim script,CWeb,YASnippet,Clojure,Inno Setup,Reason,Common Lisp,Rust,Starlark,Cuda,PureBasic,Scala
Projects that power GitHub,bcrypt-ruby,codahale,1619,246,49,44500.0,264,3,0,19,35,16.0,106.0,15,89,44.0,30.0,21.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,zeroclipboard,zeroclipboard,6612,1139,266,1200.0,664,2,0,47,46,81.0,387.0,4,223,,,,,,82.0,11.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,resque,github,167,31,31,,1008,19,0,73,103,,,3,20,,,81.0,,,4.0,,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,swot,leereilly,958,8773,21,,1623,2,0,26,400,80.0,77.0,721,1331,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,mysql-server,mysql,5192,2010,503,,156888,9,0,673,75,,,0,296,12.0,,,,60.0,10.0,,,1.0,5.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,Leaflet,Leaflet,28006,4508,950,39400.0,6848,44,0,45,645,400.0,3896.0,130,2732,,,,,,82.0,,17.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,flow,facebook,20666,1757,422,75700.0,10635,116,0,179,689,2422.0,3884.0,134,1855,0.0,,,,,26.0,,0.0,0.0,,,0.0,69.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,chai,chaijs,6841,622,132,76300.0,1516,67,0,76,140,42.0,764.0,16,518,,,,,,99.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,css,primer,9253,733,197,,4208,18,0,168,85,74.0,278.0,17,718,,,,,,19.0,,0.0,78.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,octicons,primer,6024,513,154,869.0,1008,15,0,79,39,29.0,152.0,7,239,,,34.0,,,53.0,,,0.0,,,,,7.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,eslint,eslint,16510,2916,304,3200000.0,7531,51,0,245,771,130.0,7766.0,74,5346,,,,,,99.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,mocha,mochajs,19395,2658,409,100000.0,3325,42,0,165,441,257.0,2264.0,50,1701,,,,,,99.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,lerna,lerna,23010,1491,223,41300.0,2027,5,0,178,254,397.0,1404.0,24,783,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,linguist,github,7752,2830,355,739.0,6057,13,1,150,812,22.0,1794.0,16,2961,21.0,,69.0,,,,,,,,,0.0,,,,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,elasticsearch,elastic,49212,16891,2800,,52772,68,0,275,1419,2476.0,21421.0,328,33311,,99.0,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,rails,rails,45733,18464,2500,1400000.0,77044,54,0,425,4024,389.0,13422.0,245,25284,,,94.0,,,1.0,,3.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,redis,antirez,43293,17053,2800,,9380,74,0,236,347,1847.0,2400.0,872,2179,84.0,,0.0,,,,,,,,0.0,0.0,,0.0,,,,,,,,,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,sprockets,rails,743,745,52,1300000.0,3352,29,0,123,186,77.0,239.0,19,345,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,libgit2,libgit2,7448,1937,410,,13161,99,0,83,395,235.0,1419.0,85,3788,98.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,rugged,libgit2,2011,264,74,,2534,125,0,63,91,78.0,211.0,17,536,58.0,,41.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,html-pipeline,jch,2057,362,72,28500.0,929,17,0,62,83,20.0,85.0,9,214,,,98.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,gemoji,github,3558,587,264,28300.0,415,4,0,27,37,2.0,44.0,3,121,,,83.0,,,,,10.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,jekyll,jekyll,40564,8895,1500,53800.0,10967,47,0,142,906,87.0,4120.0,66,3810,,,71.0,,,4.0,,1.0,,,,0.0,,0.0,,0.0,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,octokit.rb,octokit,3277,1076,218,29700.0,2881,13,0,123,239,38.0,445.0,11,718,,,99.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,hubot,hubotio,15543,3696,642,10400.0,2066,9,0,94,245,65.0,683.0,12,733,,,,,,98.0,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,d3,d3,91844,22114,400,91200.0,4215,25,0,263,121,5.0,2038.0,1,1094,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,ace,ajaxorg,21600,4699,645,,7806,42,0,51,376,663.0,1841.0,64,1722,,,,,,89.0,,8.0,,,,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects that power GitHub,charlock_holmes,brianmario,877,113,18,,229,4,0,28,19,46.0,44.0,7,58,32.0,,59.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
