collection,author,repository,stars,forks,watchers,dependents,commits,branches,packages,releases,contributors,issues_open,issues_closed,pull_requests_open,pull_requests_closed,PHP,JavaScript,Other,Shell,XSLT,C++,C#,Java,GLSL,Python,Objective-C++,TypeScript,CSS,Makefile,HTML,C,NSIS,Objective-C,HLSL,Lua,CMake,Awk,ActionScript,QMake,Batchfile,QML,Rich Text Format,Smalltalk,Kotlin,SWIG,Perl,Tcl,AngelScript,Reason,Dockerfile,Ruby,Gherkin,Go,Liquid,Vue
Code Quality Checker Tools For PHP Projects,PHP_CodeSniffer,squizlabs,7691,1240,204,67200.0,6369,6,0,79,179,193.0,1633.0,55,1098,97.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code Quality Checker Tools For PHP Projects,PHP-CS-Fixer,FriendsOfPHP,9047,1136,221,22800.0,6369,4,0,156,229,255.0,1579.0,79,3078,99.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code Quality Checker Tools For PHP Projects,parse,psecio,289,39,21,,359,2,0,8,6,15.0,30.0,3,50,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code Quality Checker Tools For PHP Projects,phan,phan,4827,320,115,786.0,6072,9,0,129,88,590.0,1518.0,3,1822,99.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code Quality Checker Tools For PHP Projects,phpcpd,sebastianbergmann,1950,158,68,,371,3,0,32,24,8.0,110.0,0,67,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code Quality Checker Tools For PHP Projects,phploc,sebastianbergmann,1980,160,68,900.0,540,4,0,43,37,1.0,131.0,1,80,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code Quality Checker Tools For PHP Projects,phpmnd,povils,380,24,11,184.0,172,1,0,9,13,11.0,30.0,6,59,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code Quality Checker Tools For PHP Projects,phpmd,phpmd,1715,299,59,12100.0,1868,16,0,49,94,104.0,345.0,21,329,98.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code Quality Checker Tools For PHP Projects,psalm,vimeo,3028,251,75,1900.0,6711,4,0,302,140,233.0,2590.0,8,692,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code Quality Checker Tools For PHP Projects,infection,infection,1190,102,30,,1040,16,0,67,48,74.0,255.0,18,921,99.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
